"year","faculty","sex","survive","total"
1938,"M","M",10,25
1939,"M","M",13,21
1940,"M","M",6,10
1941,"M","M",13,23
1942,"M","M",33,55
1943,"M","M",11,15
1944,"M","M",21,28
1945,"M","M",5,9
1946,"M","M",27,33
1947,"M","M",23,36
1938,"A","M",18,33
1939,"A","M",13,23
1940,"A","M",14,20
1941,"A","M",18,24
1942,"A","M",7,10
1943,"A","M",13,25
1944,"A","M",2,5
1945,"A","M",7,10
1946,"A","M",0,0
1947,"A","M",13,22
1938,"S","M",12,13
1939,"S","M",6,9
1940,"S","M",17,20
1941,"S","M",9,13
1942,"S","M",23,35
1943,"S","M",18,23
1944,"S","M",16,25
1945,"S","M",38,44
1946,"S","M",2,3
1947,"S","M",31,40
1938,"E","M",12,19
1939,"E","M",14,16
1940,"E","M",17,20
1941,"E","M",7,9
1942,"E","M",4,5
1943,"E","M",1,1
1944,"E","M",17,24
1945,"E","M",24,30
1946,"E","M",0,0
1947,"E","M",22,27
1938,"A","F",14,17
1939,"A","F",15,20
1940,"A","F",12,18
1941,"A","F",15,19
1942,"A","F",5,6
1943,"A","F",6,8
1944,"A","F",16,19
1945,"A","F",12,14
1946,"A","F",1,2
1947,"A","F",12,15
1938,"S","F",1,1
1939,"S","F",2,3
1940,"S","F",8,8
1941,"S","F",2,2
1942,"S","F",3,4
1943,"S","F",11,12
1944,"S","F",3,3
1945,"S","F",16,19
1946,"S","F",1,1
1947,"S","F",6,10
