"year","faculty","sex","survive","total"
1938,"M","M",10,20
1939,"M","M",12,21
1940,"M","M",12,19
1941,"M","M",21,28
1942,"M","M",38,54
1943,"M","M",14,20
1944,"M","M",28,43
1945,"M","M",9,12
1946,"M","M",21,38
1947,"M","M",24,36
1938,"A","M",19,24
1939,"A","M",17,27
1940,"A","M",17,27
1941,"A","M",6,13
1942,"A","M",7,12
1943,"A","M",12,18
1944,"A","M",3,4
1945,"A","M",10,11
1946,"A","M",0,0
1947,"A","M",12,24
1938,"S","M",12,17
1939,"S","M",8,11
1940,"S","M",21,27
1941,"S","M",16,20
1942,"S","M",16,21
1943,"S","M",13,21
1944,"S","M",18,22
1945,"S","M",27,37
1946,"S","M",4,4
1947,"S","M",26,34
1938,"E","M",16,25
1939,"E","M",10,12
1940,"E","M",12,14
1941,"E","M",11,12
1942,"E","M",7,10
1943,"E","M",2,3
1944,"E","M",22,30
1945,"E","M",20,26
1946,"E","M",0,0
1947,"E","M",20,28
1938,"A","F",15,22
1939,"A","F",10,19
1940,"A","F",9,14
1941,"A","F",15,18
1942,"A","F",9,9
1943,"A","F",10,13
1944,"A","F",21,25
1945,"A","F",26,31
1946,"A","F",1,1
1947,"A","F",9,11
1938,"S","F",1,1
1939,"S","F",3,4
1940,"S","F",7,8
1941,"S","F",1,2
1942,"S","F",3,3
1943,"S","F",9,9
1944,"S","F",6,7
1945,"S","F",17,18
1946,"S","F",2,2
1947,"S","F",11,14
