"HC","CO","NOX"
0.6,14.43,0.09
0.56,11.73,0.64
0.49,10.43,0.82
0.6,13.27,0.14
0.42,7.01,1.6
0.23,3.31,1.46
0.39,10.14,0.8
0.32,6.96,1.1
0.47,9.26,0.72
0.38,4.27,1.22
0.69,15.84,0.82
0.45,7.49,0.92
0.33,4.73,1.92
0.36,7.76,0.8
0.43,6.5,1.42
0.56,14.14,0.91
0.41,6.14,1.34
0.29,2.4,1.79
0.35,2.6,2.2
0.41,3.22,1.25
0.4,7.04,1.14
0.41,6.42,0.99
0.21,1.88,1.39
0.45,7.44,0.84
0.52,10.79,1.53
0.3,1.65,1.67
0.35,5.11,1.22
0.42,7.55,0.91
0.09,0.02,1.83
0.22,5.08,1.76
0.46,5.2,1.06
0.39,7.2,0.67
0.47,8.97,0.99
0.37,4.08,1.15
0.47,6.03,0.7
0.45,7.3,1.44
0.39,4.51,1.09
0.29,4.17,1.44
0.47,7.6,1.31
0.23,7.09,1.56
0.41,3.45,1.55
0.22,7.65,1.09
0.56,9.43,0.96
0.3,3.13,1.04
0.15,1.21,1.56
0.54,12.18,0.74
0.34,4.05,0.99
0.42,3.1,1.41
0.24,5.9,1.01
0.21,2.44,1.18
0.2,11.07,1.53
0.45,8.32,1.28
0.44,8.45,0.42
0.59,13.08,0.94
0.75,16.24,1.14
0.57,9.84,0.85
0.27,2.43,1.61
0.3,6.59,2.27
0.5,5.58,1.21
0.35,2.32,1.33
0.49,11.89,0.26
0.41,10.03,0.53
0.07,8.02,1.74
0.4,6.57,0.75
0.43,4.67,0.71
0.48,5.44,1.07
0.77,17.74,1.74
0.5,7.39,1.13
0.43,4.77,0.92
0.3,2.65,2.02
0.34,1.76,1.06
0.13,7.76,2.11
0.27,1.59,0.99
0.45,12.4,0.69
0.58,10.51,1.22
0.3,2.51,2.28
0.58,13.37,0.41
0.71,18.55,0.91
0.18,8.4,2.08
0.32,1.06,1.85
0.49,7.86,0.27
0.24,1.85,1.62
0.63,11.19,1
0.29,6.31,1.14
0.48,12.76,0.78
0.2,0.39,1.07
0.36,4.25,1.31
0.48,5.76,0.84
0.35,7.65,0.76
0.73,9.57,1.81
0.43,7.42,1.6
0.32,2.37,1.15
0.41,6.72,1.27
0.2,1.11,1.38
0.41,8.1,0.62
0.19,7.03,1.9
0.29,5.25,1.57
0.3,6.31,0.81
0.33,2.08,1.69
0.45,6.17,0.98
